SessionID,Configuration Name,Observer,DeviceID,Edited,Session Start Time,Recorded Start Time,Session End Time,DateTime,Date,Time,Year,Month,Hour,Project Animals,Duration,Habitat Map,Grid Size,Image Size,Notes,Channel Type,Subject Type,Focal Name,Group Count,Continuous Channel 1 Name,Location,Location.Duration,Continuous Channel 2 Name,Locomotion,Locomotion.Location,Locomotion.Duration,Continuous Channel 3 Name,Behaviours,Continuous Channel 3 Behavior Modifier 1,Behaviour.Duration
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:47,11/8/2021,12:47:15,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Interacting,Ice,22,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:47,11/8/2021,12:47:32,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,Location,Pool,202,,,,,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:47,11/8/2021,12:47:37,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,,,,,Other Behaviours,Pooping,,99
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:49,11/8/2021,12:49:16,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Swimming,,11,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:49,11/8/2021,12:49:27,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Interacting,Others,87,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:50,11/8/2021,12:50:54,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,Location,Cliff,2,,,,,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:50,11/8/2021,12:50:54,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Standing,,0,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:50,11/8/2021,12:50:55,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Walking,,0,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:50,11/8/2021,12:50:55,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Yellow,,,,,Locomotion,Lying,,1,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:51,11/8/2021,12:51:02,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Blue,,Location,Cliff,5,,,,,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:51,11/8/2021,12:51:03,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Blue,,,,,Locomotion,Climbing,,5,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:51,11/8/2021,12:51:10,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Purple,,Location,Ice,10,,,,,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:51,11/8/2021,12:51:11,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Purple,,,,,Locomotion,Standing,,1,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:51,11/8/2021,12:51:12,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Purple,,,,,,,,,Other Behaviours,Pooping,,1
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:51,11/8/2021,12:51:13,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Purple,,,,,Locomotion,Standing,,8,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:51,11/8/2021,12:51:23,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Arlo,,Location,Cliff,25,,,,,,,,
22,Penguin Feeding Study,Claudia Tay,6b517d00-9e2f-495c-91eb-f1118febb397,No,11/8/2021 12:43,11/8/2021 12:43,11/8/2021 12:52,11/8/2021 12:51,11/8/2021,12:51:24,2021,11,12,"Pierre,Yellow,Blue,Purple,Arlo,Aiden,Brix,Gretel,Sora,Zoro,Maru,Gloria,Hansel,Percy,Patricia",0.5,,,600x600,at 20s it was pooping,Continuous,Individual,Arlo,,,,,Locomotion,Lying,,4,,,,
