Date,Score,Name
2/15/2022,30,Arlo
2/16/2022,0,Arlo
2/28/2022,30,Arlo
03/03/2022,0,Arlo
3/14/2022,30,Arlo
3/15/2022,0,Arlo
8/30/2021,16,Aidan
8/31/2021,0,Aidan
9/14/2021,0,Aidan
9/16/2021,16,Aidan
9/29/2021,16,Aidan
10/11/2021,16,Aidan
10/25/2021,16,Aidan
11/10/2021,16,Aidan
11/22/2021,12,Aidan
11/24/2021,0,Aidan
12/06/2021,12,Aidan
12/08/2021,0,Aidan
12/21/2021,24,Aidan
12/23/2021,0,Aidan
01/04/2022,24,Aidan
01/05/2022,0,Aidan
1/19/2022,18,Aidan
1/20/2022,0,Aidan
02/03/2022,0,Aidan
02/04/2022,24,Aidan
2/15/2022,24,Aidan
2/16/2022,0,Aidan
2/28/2022,30,Aidan
03/03/2022,0,Aidan
3/14/2022,30,Aidan
3/15/2022,0,Aidan
